"acıkmak"	"feel hungry"
"kaymak"	"glide, slide, slip, ski, skate"
"kazanmak"	"win, gain, earn"
"kesmek"	"cut, sever, interrupt"
"kırmak"	"break, split, hurt someones feelings"
"kızmak"	"get angry, get hot"
"kokmak"	"have a smell, stink"
"konuşmak"	"talk, converse, give a talk"
"kopmak"	"break off, snap"
"korkmak"	"be afraid, fear"
"korumak"	"protect, safeguard, defend"
"koşmak"	"run, rush"
"kovmak"	"drive away, discharge"
"koymak"	"put, place, set"
"kullanmak"	"use, drive (a car), take something habitually"
"kurmak"	"set up, establish, meditate, plan, brood over, wind (clock)"
"kurtarmak"	"save, rescue, redeem"
"kuşkulanmak"	"be suspicious"
"küsmek"	"be offended, sulk, stop being friends"
"okumak"	"read, study,"
"olmak"	"be, exist, occur, happen, become, have, ripen"
"oturmak"	"sit, reside"
"oynamak"	"play, dance, gamble, act (in a play), move"
"ödemek"	"pay, remit"
"öğrenmek"	"learn, become informed"
"öksürmek"	"cough"
"ölçmek"	"measure, weigh"
"ölmek"	"die"
"önlemek"	"prevent, forestall"
"öpmek"	"kiss"
"örtmek"	"cover, hide"
"övmek"	"praise"
"özlemek"	"miss, long for"
"parlamak"	"shine, glow, flare up, achieve"
"pişirmek"	"cook or bake something"
"rastlamak"	"meet by chance, coincide, run into"
"saklamak"	"hide, keep secret, preserve, save for the future"
"sanmak"	"suppose, assume, think, imagine"
"sapmak"	"swerve, make a turn, deviate, go astray"
"sarmak"	"wrap (around), to wind, surround"
"satmak"	"sell"
"savaşmak"	"struggle, fight, battle"
"savunmak"	"defend, advocate"
"saymak"	"count, respect, deem"
"seçmek"	"choose, select, elect"
"selamlamak"	"greet, salute"
"sevinmek"	"be pleased, glad, happy"
"sevmek"	"love, like"
"sezmek"	"perceive, sense, discern"
"sokmak"	"put in, insert, sting"
"sormak"	"ask, inquire"
"söylemek"	"speak, say, tell"
"sunmak"	"present, offer, submit, put forth"
"susamak"	"be thirsty"
"susmak"	"be silent, hush, keep quiet"
"sürmek"	"drive, banish, plow, rub or spread, last, continue"
"şaşmak"	"be surprised"
"takmak"	"affix, attach, put on, wear"
"tamamlamak"	"complete, finish"
"tanımak"	"recognize, know, be acquainted with"
"taramak"	"comb"
"tartışmak"	"argue, debate, dispute"
"tartmak"	"weigh"
"taşınmak"	"move from one residence or office to another"
"tatmak"	"taste"
"temizlemek"	"clean (up), clear away"
"terlemek"	"sweat, perspire"
"titremek"	"shake, tremble, vibrate"
"toplamak"	"collect, gather, add, convene, tidy up, put on weight"
"tutmak"	"hold (on to), take, catch, retain"
"uçmak"	"fly, evaporate, fade away, be wild (with joy)"
"uğramak"	"stop by, drop in, have an illness, accident or change, dash out"
"ummak"	"hope, expect"
"unutmak"	"forget, overlook"
"uyanmak"	"wake up"
"uygulamak"	"carry out, apply, implement"
"uymak"	"fit, suit, match, conform, comply, adapt oneself to"
"uyumak"	"sleep, be negligent"
"uzamak"	"stretch, extend, grow taller or longer, become tedious"
"üflemek"	"blow (out)"
"üretmek"	"produce, breed, raise"
"üşenmek"	"be too lazy to do something"
"üşümek"	"feel cold, shiver"
"üzülmek"	"be sad, sorry or worried"
"varmak"	"arrive, reach"
"vazgeçmek"	"give up, change ones mind or plans"
"vermek"	"give"
"vurmak"	"strike, hit, shoot, pound"
"yağmak"	"rain, snow, pour down"
"yakalamak"	"catch,  seize, apprehend"
"yaklaşmak"	"draw near, approach, approximate"
"yakmak"	"set on fire, scorch, burn something"
"yalvarmak"	"beg, implore"
"yanmak"	"burn, catch fire"
"yapmak"	"make, do, build, construct"
"yaşamak"	"live, live well"
"yaşlanmak"	"grow old"
"yatmak"	"lie down, lay, go to bed, become flat, lean"
"yazmak"	"write, register"
"yemek"	"eat"
"yıkamak"	"wash something"
"yıkmak"	"tear down, demolish, destroy, devastate"
"yırtmak"	"tear, rend, slit"
"yollamak"	"send"
"yorulmak"	"be tired"
"yürümek"	"walk, march, move"
"yüzmek"	"swim, float, flay"
