Word,Count
yapıyor, 30575
saniye, 30519
gitmek, 30509
mükemmel, 30459
gelecek, 30401
öyleyse, 30383
aç, 30377
yoktu, 30331
sahip, 30309
yanında, 30154
yolu, 30088
ise, 30055
onların, 29979
dedi, 29833
sakın, 29788
içeri, 29619
kan, 29599
uzak, 29526
görünüyor, 29456
olun, 29444
bilirsin, 29408
başına, 29404
oldum, 29134
durum, 29021
bebeğim, 28997
sanmıyorum, 28987
olsa, 28974
yardımcı, 28898
anlıyorum, 28890
düşünüyorsun, 28878
eder, 28861
genç, 28728
neredeyse, 28562
ara, 28515
geldim, 28353
araba, 28257
almak, 28249
söylemek, 28187
adamın, 28102
halde, 28034
evde, 28012
yeniden, 27986
dünya, 27965
günü, 27907
altında, 27906
konusunda, 27872
yaptı, 27795
takip, 27760
süre, 27599
dersin, 27577
miyiz, 27544
galiba, 27497
on, 27430
hızlı, 27324
göz, 27235
istedim, 27227
konuda, 27195
herhangi, 27180
azından, 27129
komik, 27034
düşündüm, 26950
söylüyor, 26891
oğlum, 26870
duydum, 26831
evlat, 26803
çocuğu, 26772
işin, 26678
silah, 26658
hepimiz, 26630
şuna, 26563
çalışıyorum, 26542
ancak, 26504
ciddi, 26458
herif, 26189
vay, 26184
hayatım, 26169
ev, 26168
kaldı, 26163
boş, 26079
gidiyorum, 25945
çıktı, 25922
sende, 25863
altı, 25862
şeyin, 25804
hava, 25685
savaş, 25673
bin, 25648
rahat, 25627
garip, 25592
hayatta, 25570
olacağım, 25534
oyun, 25485
olduğuna, 25478
kimin, 25450
bebek, 25421
düşünüyorum, 25410
alo, 25376
gelen, 25349
hareket, 25188
arada, 25100
hayal, 25097
soru, 25093
yakın, 25002
in, 24795
yaptığını, 24775
el, 24755
gidiyoruz, 24649
çalışıyor, 24554
kapıyı, 24548
hayat, 24528
gelip, 24484
başladı, 24474
telefon, 24431
güçlü, 24394
new, 24267
muhtemelen, 24239
verdi, 24175
nasılsın, 24144
durumda, 24129
çeneni, 24094
sürü, 24082
böylece, 24061
yeterince, 23997
be, 23973
şaka, 23909
şeye, 23897
ihtiyacı, 23789
haklısın, 23775
ait, 23754
arkadaşım, 23728
acele, 23686
durun, 23680
anladım, 23656
beyler, 23649
verin, 23570
yolunda, 23416
kesin, 23356
varsa, 23280
olacağını, 23256
üzerine, 23089
şeyleri, 22938
dışında, 22887
iyiyim, 22868
baban, 22847
gizli, 22831
bilmek, 22792
birinin, 22749
kısa, 22733
ortaya, 22561
hepsini, 22529
çıkar, 22496
olay, 22492
beyaz, 22477
dans, 22425
zarar, 22396
kardeşim, 22394
arasında, 22392
geldin, 22392
kapa, 22361
hatta, 22350
gidiyorsun, 22341
gelir, 22331
günaydın, 22236
olmadan, 22140
yapacağım, 22139
verdim, 22089
memnun, 22039
kızı, 22022
olmayacak, 21963
geceler, 21915
tür, 21913
geçti, 21889
veriyorum, 21888
yapamam, 21841
uygun, 21836
sam, 21800
sanıyorsun, 21791
terk, 21772
neyi, 21762
sanıyordum, 21748
sevindim, 21710
etmeye, 21656
kere, 21629
sürekli, 21599
ölü, 21598
fikir, 21565
değildir, 21522
tahmin, 21512
neydi, 21448
canım, 21373
yüksek, 21308
korkunç, 21305
zamanda, 21243
yaşlı, 21232
sensin, 21160
hissediyorum, 21147
güle, 21075
olmadı, 21071
ölüm, 21048
İçeri, 21040
herşey, 20998
mısınız, 20964
sağol, 20927
aldı, 20915
dolu, 20913
gerektiğini, 20888
çeviri, 20866
anladın, 20807
çık, 20782
acaba, 20697
olurdu, 20655
gelin, 20623
ihtiyacın, 20617
parayı, 20588
içine, 20581
ihtiyacımız, 20580
rahatsız, 20518
güvenlik, 20496
neyin, 20437
edecek, 20416
acı, 20383
biliyordum, 20359
ediyorsun, 20332
diyorsun, 20251
bırakın, 20242
hasta, 20239
çek, 20185
geliyorum, 20147
üzere, 20021
bizimle, 19899
milyon, 19893
sizinle, 19853
mümkün, 19784
tuhaf, 19700
yakında, 19687
annen, 19661
dön, 19645
affedersiniz, 19635
charlie, 19626
eden, 19607
yemin, 19571
berbat, 19568
dedin, 19515
dikkatli, 19510
dünyanın, 19455
siktir, 19454
ana, 19433
frank, 19420
otur, 19395
aşağı, 19381
yapacağız, 19373
burda, 19204
normal, 19191
yapacak, 19129
şöyle, 19064
vermek, 19062
dışarıda, 19024
yapmaya, 18948
yapıyorum, 18900
başkan, 18843
varmış, 18831
olmayan, 18820
anlaşıldı, 18733
istedi, 18680
deli, 18598
yukarı, 18597
belli, 18564
şans, 18523
birine, 18515
söyledin, 18504
at, 18483
istediğini, 18478
oradan, 18423
kaptan, 18418
tatlı, 18417
dek, 18341
michael, 18337
seks, 18284
pardon, 18234
istersen, 18222
duydun, 18201
bilmem, 18190
nefes, 18161
yapar, 18152
güç, 18085
hata, 18010
getir, 17981
olup, 17905
ettin, 17838
keşke, 17837
insanların, 17813
bununla, 17808
tut, 17803
bi, 17790
yalnızca, 17788
biliyoruz, 17778
inanamıyorum, 17744
koca, 17736
ajan, 17724
kahve, 17700
benziyor, 17692
neye, 17668
herşeyi, 17655
isterim, 17631
sefer, 17628
evine, 17590
yeri, 17564
görüyorum, 17555
basit, 17547
herkesin, 17523
kızlar, 17506
hayatını, 17438
üstüne, 17418
durumu, 17355
yavaş, 17341
İnsanlar, 17336
aile, 17316
tehlikeli, 17213
dalga, 17207
baş, 17154
aldın, 17140
bayım, 17125
millet, 17118
yaşında, 17104
ufak, 17092
bilgi, 17083
ele, 17046
buradayım, 17034
yeterli, 16991
aynen, 16933
gidin, 16889
yıldır, 16845
bunların, 16828
miydi, 16778
olası, 16761
zamandır, 16739
herhalde, 16728
george, 16718
ahbap, 16694
sessiz, 16692
köpek, 16673
kahrolası, 16668
alıp, 16622
sıcak, 16601
temiz, 16584
olmalısın, 16575
yüz, 16559
görünüyorsun, 16535
önünde, 16478
arkadaş, 16460
olmasını, 16407
dair, 16384
bilmiyor, 16333
görüyor, 16323
anlamıyorum, 16273
hoşça, 16260
vakit, 16225
yapmam, 16198
söylüyorum, 16188
yedi, 16183
olacaksın, 16183
düşünüyor, 16183
söylemiştim, 16165
doğum, 16093
adını, 16034
olduğun, 15990
yapacaksın, 15964
diyorum, 15942
tom, 15934
düşün, 15934
diyor, 15906
buldun, 15898
alın, 15822
erken, 15803
ses, 15765
konu, 15730
acil, 15679
istediğin, 15671
bilemiyorum, 15662
kızım, 15648
haklı, 15636
kimsenin, 15593
adına, 15593
sesini, 15584
mıydı, 15576
olsaydı, 15552
ikinci, 15537
bulmak, 15537
tıpkı, 15521
yerinde, 15475
gitmem, 15463
uyuşturucu, 15461
aşk, 15456
sonraki, 15418
peter, 15398
işler, 15389
canlı, 15374
birden, 15371
ta, 15345
çekil, 15329
yoktur, 15321
olduğum, 15311
bilmiyordum, 15306
numara, 15297
üstünde, 15294
bilir, 15261
orospu, 15260
insanları, 15253
edeceğim, 15239
arkadaşın, 15202
alabilir, 15176
hatırlıyor, 15168
hak, 15147
bakma, 15143
almaya, 15141
gerçeği, 15127
cinayet, 15110
yerini, 15103
kendisi, 15096
asıl, 15074
yaparım, 15066
birçok, 15053
kızın, 15045
muhteşem, 14958
görünüşe, 14948
öldürmek, 14936
oda, 14919
kırmızı, 14919
söyleme, 14910
gelmiş, 14887
film, 14859
kimsin, 14857
evi, 14846
pislik, 14817
bahsediyorsun, 14774
kalk, 14736
sıkı, 14669
bekliyor, 14656
İşe, 14642
unutma, 14618
buradaki, 14593
işim, 14570
mesaj, 14567
zavallı, 14560
fena, 14550
güvenli, 14517
istiyorsan, 14516
kimseye, 14515
yürü, 14490
anlat, 14420
söylüyorsun, 14405
bağlı, 14400
biriyle, 14386
verir, 14358
şarkı, 14344
konuşma, 14341
olmaya, 14338
içki, 14312
işini, 14306
birşeyler, 14288
david, 14284
the, 14277
parti, 14271
sonsuza, 14245
harry, 14146
onlardan, 14140
sonu, 14117
zamanlar, 14111
sebep, 14100
saçma, 14087
adamlar, 14067
yanına, 14054
geldik, 14039
anlamı, 14009
parçası, 13980
olduğundan, 13966
bulduk, 13898
silahı, 13886
yapabilirim, 13873
gerekir, 13847
yapalım, 13844
bayanlar, 13844
alacağım, 13821
özellikle, 13819
alan, 13792
rağmen, 13786
anlıyor, 13768
sevgili, 13749
ölmüş, 13744
tercih, 13742
sayın, 13740
değiliz, 13716
aşkına, 13708
yaptığı, 13692
babası, 13686
suç, 13678
yemeği, 13663
burayı, 13633
gayet, 13628
umurumda, 13617
general, 13615
bok, 13613
bizden, 13604
elinde, 13598
dürüst, 13580
sıra, 13546
İyiyim, 13514
joe, 13511
kusura, 13504
yapan, 13492
kalan, 13486
affedersin, 13474
eğlenceli, 13447
kayıp, 13433
gerekiyordu, 13428
dolayı, 13406
yaptığın, 13388
onlarla, 13321
defa, 13312
çocukları, 13312
olma, 13300
takım, 13287
sert, 13267
teklif, 13266
'de, 13254
seviyor, 13252
bekleyin, 13234
teslim, 13232
babamın, 13226
çalışıyorsun, 13208
soğuk, 13191
katil, 13186
yaşıyor, 13177
iyisi, 13155
sebebi, 13108
çoğu, 13101
söyleyeyim, 13066
istemiyor, 13056
gitsin, 13053
james, 13050
baksana, 13048
şeyden, 13037
gurur, 13030
tanıyor, 13000
geldiniz, 12995
arkadaşı, 12992
mike, 12936
alır, 12923
siyah, 12865
göster, 12845
edebilir, 12842
canına, 12836
şehir, 12832
kapı, 12787
patron, 12769
istiyoruz, 12761
tarafa, 12753
anlaşma, 12739
geldiğini, 12735
dinleyin, 12733
eskiden, 12698
görmedim, 12682
yarım, 12660
fikrim, 12628
ın, 12626
duyuyor, 12617
altına, 12612
olmasın, 12550
demektir, 12541
arabayı, 12520
yo, 12520
günler, 12493
sene, 12486
süper, 12479
niçin, 12473
orası, 12472
salak, 12463
adama, 12448
yola, 12444
çocuğun, 12421
kendim, 12412
davet, 12407
zorundayım, 12392
düşünüyordum, 12386
yapmış, 12371
kendime, 12317
hale, 12291
kalmak, 12284
gelmek, 12271
yaptığım, 12265
öğrenmek, 12265
müzik, 12259
sona, 12250
kalp, 12243
okul, 12243
aşık, 12236
kalın, 12233
istemedim, 12204
çoktan, 12179
ağır, 12176
arka, 12162
noel, 12157
iç, 12152
iyilik, 12149
serbest, 12139
hepiniz, 12131
taraftan, 12118
şef, 12100
görmeye, 12066
istemem, 12059
ellerini, 12056
hoşuma, 12051
bul, 12025
çeşit, 12016
sekiz, 11998
bakayım, 11948
herkese, 11946
olayı, 11940
ilginç, 11934
aferin, 11934
sahibi, 11927
dan, 11922
günün, 11921
verici, 11916
hatırlıyorum, 11900
vereceğim, 11897
konuş, 11883
mavi, 11861
kitap, 11843
kavga, 11824
getirdim, 11807
istiyorsunuz, 11789
çekilin, 11782
gider, 11766
telefonu, 11738
bira, 11704
şimdiye, 11704
anlamına, 11679
birileri, 11608
gitmeliyim, 11601
İş, 11584
resmi, 11579
görev, 11575
baylar, 11560
nedeni, 11559
güneş, 11556
güven, 11554
duymak, 11550
herkesi, 11541
isim, 11536
paul, 11525
dünyada, 11506
sigara, 11505
dedektif, 11504
oldun, 11494
la, 11476
düşünmüştüm, 11470
severim, 11443
üçüncü, 11442
gidecek, 11414
kral, 11386
olanlar, 11372
aptalca, 11360
zengin, 11352
jimmy, 11328
ifade, 11327
elini, 11324
cehenneme, 11321
olabilirim, 11320
kapat, 11316
parça, 11306
mesela, 11300
cidden, 11299
sırada, 11281
veriyor, 11279
kadınlar, 11277
adın, 11276
kimseyi, 11261
dua, 11229
amerikan, 11224
gerekli, 11223
önceki, 11219
gittim, 11184
edeyim, 11183
söylemiştin, 11113
isterdim, 11112
yaklaşık, 11101
yapmayı, 11094
kara, 11094
olman, 11081
dava, 11074
yüzbaşı, 11067
yapabilir, 11052
kendin, 11052
yıllar, 11046
gir, 11044
kelime, 11037
sık, 11036
zeki, 11035
karanlık, 11032
vakti, 11025
yazık, 11024
tanıyorum, 11020
alıyorum, 11017
olacağız, 11013
karım, 10996
tebrikler, 10996
albay, 10985
bob, 10979
başıma, 10963
saçmalık, 10959
koy, 10937
verdin, 10895
unut, 10895
etmiş, 10865
kaldım, 10844
yapıyorsunuz, 10836
kutsal, 10834
yapıyoruz, 10828
duyuyorum, 10825
öldürdü, 10803
ray, 10799
ön, 10794
yaşam, 10793
hayatı, 10775
kadının, 10772
hikaye, 10766
un, 10748
geriye, 10732
üst, 10723
söyleyeceğim, 10721
alıyor, 10709
isteyen, 10698
birazdan, 10684
değer, 10684
kimi, 10674
defol, 10672
şanslı, 10668
suçlu, 10649
tamamdır, 10643
uh, 10640
hoşuna, 10613
satın, 10608
saygı, 10606
yapmadım, 10603
edelim, 10602
sizden, 10593
almış, 10591
hayatımı, 10585
sürece, 10583
çift, 10579
olmayı, 10577
çalışan, 10562
çıkıp, 10553
birinci, 10547
tony, 10540
hediye, 10523
İkinci, 10514
kişisel, 10514
gördüğüm, 10468
ettiğini, 10465
ikna, 10463
yolunu, 10439
mıyım, 10436
altın, 10435
farkında, 10426
endişelenme, 10426
ee, 10405
annesi, 10397
götür, 10388
gerekecek, 10369
derece, 10362
söyleyin, 10362
söyler, 10355
balık, 10318
ortak, 10312
ilgisi, 10304
biliyorsunuz, 10303
dışı, 10296
hayatın, 10274
bölüm, 10266
yüce, 10263
işleri, 10260
danny, 10254
duruyor, 10246
gitme, 10234
arabaya, 10225
deniz, 10223
güvende, 10206
verme, 10201
hanımefendi, 10195
seksi, 10194
kalmadı, 10192
iyidir, 10167
gideceğim, 10159
Sarah, 10141
max, 10137
döndü, 10115
park, 10113
erkekler, 10109
kalacak, 10108
tehdit, 10097
elde, 10090
olduğumuzu, 10062
Jake, 10053
arıyor, 10044
korkarım, 10032
buralarda, 10031
çalıştım, 10030
ayak, 10028
pis, 10008
yardıma, 9999
gitmiş, 9993
verecek, 9991
sesi, 9977
yaşamak, 9963
yada, 9963
yoldan, 9962
gücü, 9961
çıkmak, 9960
İnsan, 9949
hoşçakal, 9948
polisi, 9947
okula, 9928
yiyecek, 9926
inanılmaz, 9921
arıyorum, 9914
alacak, 9894
kulak, 9885
mantıklı, 9885
şuraya, 9884
kafa, 9877
bilmiyorsun, 9866
oyunu, 9865
Alex, 9831
bildiğim, 9830
ayağa, 9828
etmez, 9826
önceden, 9826
clark, 9822
olurum, 9819
tarafta, 9818
sol, 9816
kadını, 9802
yaz, 9793
muydu, 9791
'da, 9789
mal, 9776
dene, 9768
teğmen, 9745
ortadan, 9730
Bill, 9729
yaptık, 9721
nesi, 9717
insanlara, 9709
geldiğinde, 9706
haline, 9705
ikiniz, 9697
istersin, 9693
zorundasın, 9686
Jim, 9666
zamanlarda, 9666
istediğimi, 9654
giden, 9646
gördünüz, 9635
şanslar, 9627
açın, 9587
test, 9581
eee, 9579
yaramaz, 9571
degil, 9563
korumak, 9560
ediyoruz, 9553
müthiş, 9542
henry, 9530
ciddiyim, 9522
buydu, 9513
dünyayı, 9502
destek, 9483
alt, 9479
kaza, 9478
yapabilirsin, 9475
istediği, 9474
olanları, 9474
sorunu, 9472
yapman, 9469
yolda, 9467
mary, 9462
sıradan, 9453
yanımda, 9441
vur, 9427
babanın, 9401
paris, 9400
yoluna, 9395
asker, 9379
yerden, 9375
sahi, 9369
afedersiniz, 9348
parmak, 9346
aradı, 9339
plan, 9334
nerde, 9332
gibiydi, 9325
gösteriyor, 9321
evin, 9313
kalsın, 9308
neredesin, 9287
olmadığı, 9286
elimden, 9275
yıldız, 9258
aşırı, 9242
edip, 9238
peder, 9236
edersin, 9203
adamla, 9203
sarhoş, 9201
veririm, 9200
muydun, 9200
edildi, 9193
kapalı, 9186
gerekirse, 9183
gemi, 9164
buradasın, 9163
önemi, 9160
hayvan, 9148
metre, 9145
kat, 9140
sevdim, 9134
gelmiyor, 9124
çavuş, 9119
hani, 9118
orda, 9118
tedavi, 9113
sorunun, 9107
iğrenç, 9107
sahte, 9107
baştan, 9097
istiyorlar, 9081
grup, 9073
gözlerini, 9049
olabilirsin, 9025
sürpriz, 9020
yarısı, 9006
bomba, 9006
öldürmeye, 9003
sanmıştım, 8999
muyum, 8989
arkasında, 8983
çıkıyor, 8975
ye, 8965
türlü, 8965
gitmeliyiz, 8964
sever, 8956
derin, 8949
olmam, 8947
san, 8931
olduğunda, 8919
söylemişti, 8916
ders, 8910
güzeldi, 8909
johnny, 8903
başlıyor, 8893
edebilirim, 8876
olduğunuzu, 8870
inanıyorum, 8864
annemin, 8853
arıyorsun, 8849
bazıları, 8845
konuşuyor, 8844
kalmış, 8836
piç, 8821
başladım, 8802
başarılı, 8802
konuşabilir, 8797
oturup, 8771
koş, 8767
etmeyi, 8767
geleni, 8752
ikimiz, 8749
elimizde, 8745
günde, 8744
uçak, 8743
getirin, 8740
tutun, 8733
uyan, 8729
şeker, 8727
nasıi, 8721
miydin, 8718
rica, 8714
evli, 8704
yeşil, 8687
genelde, 8681
alırım, 8668
öylece, 8652
adamları, 8648
anlamadım, 8646
bayağı, 8623
üzgün, 8620
buz, 8617
bekliyorum, 8612
elimde, 8604
İsa, 8587
olanı, 8575
değerli, 8573
arama, 8566
zorundayız, 8564
daima, 8561
teki, 8559
çalış, 8550
konuyu, 8547
ararım, 8544
yatak, 8543
buldu, 8543
şimdilik, 8538
özgür, 8532
hapse, 8531
aramızda, 8511
akıllı, 8505
olsam, 8491
rüya, 8491
olduklarını, 8486
akşamlar, 8483
girdi, 8483
mıyız, 8481
allah, 8469
ziyaret, 8466
gelmedi, 8466
yazıyor, 8466
profesör, 8455
hamile, 8436
geçiyor, 8434
giriş, 8417
richard, 8410
etmeyin, 8409
araya, 8406
havaya, 8403
kaybettim, 8397
diğerleri, 8380
korkuyorum, 8366
kadarıyla, 8355
dahil, 8353
değildim, 8345
kaldır, 8341
Chris, 8336
gittiğini, 8302
zayıf, 8294
kafayı, 8287
söylediler, 8287
derhal, 8284
söyleyecek, 8283
çocukların, 8283
evinde, 8278
hiçbirşey, 8276
mesele, 8268
alayım, 8267
avukat, 8267
insanın, 8265
doğal, 8254
hazırım, 8241
sandım, 8240
bilim, 8238
anlama, 8233
oğlu, 8231
konuşmaya, 8228
güney, 8225
ailesi, 8215
aldık, 8210
ailem, 8201
sonuna, 8199
imkansız, 8188
yemeğe, 8167
los, 8150
şurada, 8139
aklıma, 8136
söylemem, 8127
dokuz, 8122
York, 8108
kurtarmak, 8103
ölmek, 8102
dünyaya, 8101
bunlardan, 8091
düştü, 8090
com, 8088
iyiydi, 8085
Billy, 8082
çalışma, 8074
zamana, 8073
Eric, 8071
Nick, 8068
demiştim, 8056
ileri, 8056
odasında, 8050
geçmiş, 8033
silahını, 8027
dönmek, 8026
beyin, 8020
iptal, 8018
kime, 7998
çekici, 7998
şeytan, 7985
kuzey, 7973
çalışmak, 7963
etrafta, 7959
hedef, 7953
majesteleri, 7939
sayılmaz, 7927
cep, 7923
İşin, 7915
jerry, 7913
askeri, 7911
konuştum, 7897
aradım, 7889
mark, 7881
numaralı, 7878
fazlasını, 7870
tanrı'nın, 7856
hizmet, 7855
saldırı, 7833
işten, 7831
önüne, 7826
hayatımın, 7820
gelebilir, 7818
olmasına, 7815
aşağıda, 7813
chuck, 7813
domuz, 7812
adil, 7811
öldürdün, 7809
topu, 7806
yaptığımı, 7792
diyeceğim, 7791
top, 7791
süredir, 7781
söylemedim, 7781
memur, 7769
sor, 7768
başlayalım, 7764
ismi, 7755
gibisin, 7754
sevdiğim, 7751
başı, 7747
bahse, 7744
şansı, 7743
deme, 7737
evden, 7725
söylediğim, 7721
söylemeye, 7718
can, 7715
yapın, 7712
bilmiyoruz, 7710
kenara, 7708
İzin, 7704
charles, 7704
will, 7704
alman, 7696
not, 7693
ışık, 7693
kulağa, 7693
istedin, 7691
zevk, 7670
kurban, 7656
ettik, 7654
başla, 7651
etmem, 7651
zamanında, 7644
yüzünü, 7643
gelmez, 7640
oturun, 7627
kızgın, 7625
mr, 7618
girmek, 7614
fbi, 7609
çay, 7601
ederiz, 7601
yaşayan, 7600
harekete, 7591
çıkmış, 7589
kardeşin, 7587
görmüş, 7587
sırasında, 7575
hatırladın, 7572
saatte, 7572
angeles, 7571
bobby, 7565
sıkıcı, 7559
şerif, 7557
şarap, 7556
hallederim, 7554
bilgisayar, 7545
gideceğiz, 7540
düzgün, 7537
kate, 7533
walter, 7531
sağlam, 7528
hayir, 7506
kahraman, 7498
hastaneye, 7497
tamir, 7495
resim, 7494
araştırma, 7493
çılgın, 7491
nasılsınız, 7487
mektup, 7483
olacaktır, 7483
sevgilim, 7475
yabancı, 7469
olabileceğini, 7457
yan, 7450
sayesinde, 7441
çıkarın, 7438
andy, 7434
zamandan, 7427
polisler, 7424
kıçını, 7390
ruh, 7375
çıkan, 7360
yarı, 7360
yapayım, 7352
ünlü, 7348
haberi, 7344
problem, 7341
işine, 7340
İnsanların, 7336
karısı, 7334
seçim, 7333
kurşun, 7330
öldür, 7330
kanıt, 7330
yakışıklı, 7328
savunma, 7327
İnanılmaz, 7322
başa, 7302
hatırlamıyorum, 7298
bıraktım, 7297
tarafı, 7289
uzakta, 7288
geride, 7287
oynamak, 7284
işaret, 7273
bakmak, 7267
rapor, 7262
bağlantı, 7260
söylemedin, 7257
meşgul, 7237
ikisi, 7237
başlıyoruz, 7234
birer, 7233
kişinin, 7231
fırsat, 7226
masum, 7223
karın, 7220
sorumlu, 7209
yana, 7190
izi, 7187
ters, 7184
gerekmiyor, 7182
aklını, 7173
